MatchID,TeamName
163,"Deccan Chargers"
164,"Kings XI Punjab"
164,"Deccan Chargers"
165,"Rajasthan Royals"
165,"Delhi Daredevils"
166,"Chennai Super Kings"
167,"Delhi Daredevils"
168,"Rajasthan Royals"
169,"Kings XI Punjab"
169,"Chennai Super Kings"
170,"Mumbai Indians"
170,"Delhi Daredevils"
171,"Deccan Chargers"
172,"Delhi Daredevils"
172,"Deccan Chargers"
173,"Chennai Super Kings"
174,"Deccan Chargers"
175,"Deccan Chargers"
176,"Rajasthan Royals"
176,"Mumbai Indians"
177,"Kings XI Punjab"
177,"Delhi Daredevils"
179,"Deccan Chargers"
179,"Chennai Super Kings"
180,"Rajasthan Royals"
180,"Delhi Daredevils"
181,"Kings XI Punjab"
182,"Chennai Super Kings"
183,"Mumbai Indians"
183,"Delhi Daredevils"
184,"Rajasthan Royals"
185,"Delhi Daredevils"
185,"Chennai Super Kings"
186,"Kings XI Punjab"
186,"Deccan Chargers"
187,"Rajasthan Royals"
188,"Mumbai Indians"
189,"Delhi Daredevils"
189,"Deccan Chargers"
190,"Kings XI Punjab"
190,"Chennai Super Kings"
191,"Mumbai Indians"
192,"Chennai Super Kings"
193,"Rajasthan Royals"
193,"Kings XI Punjab"
194,"Mumbai Indians"
194,"Chennai Super Kings"
195,"Rajasthan Royals"
195,"Deccan Chargers"
196,"Kings XI Punjab"
197,"Delhi Daredevils"
198,"Rajasthan Royals"
198,"Chennai Super Kings"
199,"Mumbai Indians"
199,"Deccan Chargers"
200,"Delhi Daredevils"
201,"Mumbai Indians"
201,"Kings XI Punjab"
202,"Chennai Super Kings"
203,"Rajasthan Royals"
203,"Delhi Daredevils"
204,"Deccan Chargers"
205,"Kings XI Punjab"
206,"Rajasthan Royals"
206,"Chennai Super Kings"
207,"Mumbai Indians"
207,"Deccan Chargers"
208,"Kings XI Punjab"
209,"Delhi Daredevils"
210,"Rajasthan Royals"
210,"Deccan Chargers"
211,"Mumbai Indians"
211,"Chennai Super Kings"
212,"Rajasthan Royals"
212,"Kings XI Punjab"
213,"Delhi Daredevils"
214,"Deccan Chargers"
215,"Mumbai Indians"
215,"Kings XI Punjab"
216,"Deccan Chargers"
216,"Chennai Super Kings"
218,"Kings XI Punjab"
218,"Delhi Daredevils"
219,"Rajasthan Royals"
219,"Mumbai Indians"
220,"Deccan Chargers"
221,"Mumbai Indians"
221,"Delhi Daredevils"
222,"Chennai Super Kings"
223,"Rajasthan Royals"
224,"Delhi Daredevils"
224,"Chennai Super Kings"
225,"Kings XI Punjab"
225,"Deccan Chargers"
226,"Mumbai Indians"
227,"Rajasthan Royals"
228,"Kings XI Punjab"
228,"Chennai Super Kings"
229,"Delhi Daredevils"
229,"Deccan Chargers"
230,"Mumbai Indians"
231,"Mumbai Indians"
232,"Deccan Chargers"
232,"Chennai Super Kings"
233,"Deccan Chargers"
234,"Mumbai Indians"
234,"Chennai Super Kings"
235,"Chennai Super Kings"
236,"Rajasthan Royals"
236,"Deccan Chargers"
237,"Kochi Tuskers Kerala"
238,"Mumbai Indians"
238,"Delhi Daredevils"
239,"Pune Warriors"
239,"Kings XI Punjab"
240,"Deccan Chargers"
241,"Rajasthan Royals"
241,"Delhi Daredevils"
242,"Mumbai Indians"
243,"Kings XI Punjab"
243,"Chennai Super Kings"
244,"Pune Warriors"
244,"Kochi Tuskers Kerala"
245,"Deccan Chargers"
246,"Rajasthan Royals"
247,"Mumbai Indians"
247,"Kochi Tuskers Kerala"
248,"Chennai Super Kings"
249,"Kings XI Punjab"
249,"Deccan Chargers"
250,"Pune Warriors"
250,"Delhi Daredevils"
251,"Rajasthan Royals"
252,"Kochi Tuskers Kerala"
252,"Chennai Super Kings"
253,"Delhi Daredevils"
253,"Deccan Chargers"
254,"Pune Warriors"
254,"Mumbai Indians"
255,"Kochi Tuskers Kerala"
256,"Rajasthan Royals"
256,"Kings XI Punjab"
257,"Mumbai Indians"
257,"Chennai Super Kings"
259,"Kings XI Punjab"
259,"Delhi Daredevils"
260,"Mumbai Indians"
260,"Deccan Chargers"
261,"Rajasthan Royals"
261,"Kochi Tuskers Kerala"
262,"Pune Warriors"
262,"Chennai Super Kings"
263,"Delhi Daredevils"
264,"Pune Warriors"
264,"Chennai Super Kings"
265,"Kochi Tuskers Kerala"
265,"Deccan Chargers"
266,"Delhi Daredevils"
267,"Rajasthan Royals"
267,"Mumbai Indians"
268,"Pune Warriors"
269,"Kochi Tuskers Kerala"
269,"Delhi Daredevils"
270,"Kings XI Punjab"
271,"Rajasthan Royals"
271,"Pune Warriors"
272,"Deccan Chargers"
272,"Chennai Super Kings"
273,"Mumbai Indians"
273,"Kings XI Punjab"
274,"Kochi Tuskers Kerala"
274,"Delhi Daredevils"
275,"Deccan Chargers"
276,"Rajasthan Royals"
276,"Chennai Super Kings"
277,"Pune Warriors"
277,"Mumbai Indians"
278,"Kochi Tuskers Kerala"
279,"Delhi Daredevils"
279,"Deccan Chargers"
280,"Kings XI Punjab"
281,"Chennai Super Kings"
282,"Mumbai Indians"
282,"Delhi Daredevils"
283,"Kochi Tuskers Kerala"
284,"Pune Warriors"
284,"Kings XI Punjab"
285,"Rajasthan Royals"
285,"Chennai Super Kings"
286,"Pune Warriors"
286,"Deccan Chargers"
287,"Mumbai Indians"
287,"Kings XI Punjab"
288,"Rajasthan Royals"
289,"Delhi Daredevils"
289,"Chennai Super Kings"
290,"Kochi Tuskers Kerala"
290,"Kings XI Punjab"
292,"Mumbai Indians"
292,"Deccan Chargers"
293,"Kings XI Punjab"
293,"Delhi Daredevils"
294,"Rajasthan Royals"
294,"Kochi Tuskers Kerala"
295,"Pune Warriors"
295,"Deccan Chargers"
296,"Kings XI Punjab"
297,"Kochi Tuskers Kerala"
297,"Chennai Super Kings"
298,"Pune Warriors"
299,"Rajasthan Royals"
299,"Mumbai Indians"
300,"Kings XI Punjab"
300,"Deccan Chargers"
301,"Pune Warriors"
301,"Delhi Daredevils"
302,"Chennai Super Kings"
303,"Mumbai Indians"
304,"Chennai Super Kings"
305,"Mumbai Indians"
306,"Mumbai Indians"
307,"Chennai Super Kings"
308,"Mumbai Indians"
308,"Chennai Super Kings"
309,"Delhi Daredevils"
310,"Pune Warriors"
310,"Mumbai Indians"
311,"Rajasthan Royals"
311,"Kings XI Punjab"
312,"Delhi Daredevils"
313,"Deccan Chargers"
313,"Chennai Super Kings"
314,"Rajasthan Royals"
315,"Pune Warriors"
315,"Kings XI Punjab"
316,"Mumbai Indians"
316,"Deccan Chargers"
318,"Delhi Daredevils"
318,"Chennai Super Kings"
319,"Rajasthan Royals"
319,"Mumbai Indians"
320,"Chennai Super Kings"
321,"Pune Warriors"
321,"Kings XI Punjab"
322,"Rajasthan Royals"
323,"Delhi Daredevils"
323,"Deccan Chargers"
324,"Pune Warriors"
324,"Chennai Super Kings"
325,"Kings XI Punjab"
326,"Rajasthan Royals"
327,"Mumbai Indians"
327,"Delhi Daredevils"
328,"Rajasthan Royals"
328,"Deccan Chargers"
329,"Pune Warriors"
330,"Kings XI Punjab"
331,"Delhi Daredevils"
331,"Deccan Chargers"
332,"Pune Warriors"
332,"Chennai Super Kings"
333,"Kings XI Punjab"
334,"Rajasthan Royals"
334,"Chennai Super Kings"
335,"Pune Warriors"
335,"Delhi Daredevils"
336,"Mumbai Indians"
336,"Kings XI Punjab"
337,"Deccan Chargers"
338,"Rajasthan Royals"
339,"Pune Warriors"
339,"Delhi Daredevils"
340,"Mumbai Indians"
340,"Kings XI Punjab"
341,"Pune Warriors"
341,"Deccan Chargers"
342,"Mumbai Indians"
342,"Delhi Daredevils"
343,"Kings XI Punjab"
343,"Chennai Super Kings"
345,"Rajasthan Royals"
345,"Delhi Daredevils"
346,"Mumbai Indians"
346,"Deccan Chargers"
347,"Chennai Super Kings"
348,"Pune Warriors"
348,"Deccan Chargers"
349,"Rajasthan Royals"
349,"Delhi Daredevils"
350,"Kings XI Punjab"
351,"Pune Warriors"
351,"Mumbai Indians"
352,"Deccan Chargers"
352,"Chennai Super Kings"
353,"Pune Warriors"
354,"Rajasthan Royals"
354,"Kings XI Punjab"
355,"Mumbai Indians"
355,"Chennai Super Kings"
356,"Deccan Chargers"
357,"Delhi Daredevils"
358,"Rajasthan Royals"
358,"Pune Warriors"
359,"Kings XI Punjab"
359,"Deccan Chargers"
360,"Mumbai Indians"
361,"Rajasthan Royals"
361,"Chennai Super Kings"
362,"Pune Warriors"
363,"Mumbai Indians"
364,"Delhi Daredevils"
364,"Chennai Super Kings"
365,"Rajasthan Royals"
365,"Pune Warriors"
366,"Kings XI Punjab"
366,"Deccan Chargers"
367,"Mumbai Indians"
