Name,DOB,Match_ID,inning,Batting_Team,Bowling_Team,over,Ball
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,1
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,2
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,2
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,3
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,3
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,4
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,4
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,5
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,5
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,6
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,6
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,1
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,1
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,2
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,2
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,3
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,3
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,4
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,4
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,5
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,5
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,6
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,6
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,1
"TM Head",29-Dec-93,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,1
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,2
"TM Head",29-Dec-93,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,2
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,3
"TM Head",29-Dec-93,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,3
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,4
"TM Head",29-Dec-93,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,4
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,5
"TM Head",29-Dec-93,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,5
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,6
"TM Head",29-Dec-93,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,6
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,1
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,1
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,2
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,2
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,3
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,3
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,4
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,4
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,5
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,5
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,6
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,6
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,1
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,1
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,2
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,2
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,3
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,3
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,4
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,4
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,5
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,5
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,6
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,6
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,1
"STR Binny",3-Jun-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,1
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,2
"STR Binny",3-Jun-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,2
"S Dhawan",5-Dec-85,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,3
"STR Binny",3-Jun-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,3
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,4
"STR Binny",3-Jun-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,4
"STR Binny",3-Jun-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,5
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,5
"STR Binny",3-Jun-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,6
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,6
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,1
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,1
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,2
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,2
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,3
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,4
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,4
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,5
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,5
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,6
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,6
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,1
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,1
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,2
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,2
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,3
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,4
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,4
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,5
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,5
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,6
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,6
"A Choudhary",,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,7
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,7
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,1
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,1
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,2
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,2
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,3
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,3
