MatchID,inning,batting_team,bowling_team,over,Ball
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,1
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",6,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",6,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",6,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",6,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",6,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",6,1
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,7
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",5,1
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,7
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",4,1
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",3,1
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",2,1
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,6
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,5
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,4
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,3
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,2
1,2,"Royal Challengers Bangalore","Sunrisers Hyderabad",1,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",20,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,3
